Name,Team,Age,PA,OBP,SLG,OPS,wOBA,ISO,BB%,K%,HR,RBI,SB,Def,WAR,All_Star,Year
Alex Rodriguez,NYY,31,708,0.422,0.645,1.067,0.445,0.331,0.134,0.16899999999999998,54,156,24,-0.5,9.6,1,2007
David Wright,NYM,24,711,0.416,0.546,0.963,0.413,0.222,0.132,0.162,30,107,34,8.7,8.4,1,2007
Magglio Ordonez,DET,33,679,0.434,0.595,1.029,0.438,0.232,0.11199999999999999,0.11599999999999999,28,139,4,1.1,8.0,1,2007
Curtis Granderson,DET,26,676,0.361,0.552,0.913,0.388,0.25,0.077,0.209,23,74,26,17.5,7.9,0,2007
Albert Pujols,STL,27,679,0.429,0.568,0.997,0.419,0.241,0.146,0.085,32,103,2,13.1,7.7,1,2007
Chase Utley,PHI,28,613,0.41,0.566,0.976,0.419,0.234,0.08199999999999999,0.145,22,103,9,14.4,7.7,1,2007
Chipper Jones,ATL,35,600,0.425,0.604,1.029,0.434,0.267,0.13699999999999998,0.125,29,102,5,3.0,6.9,0,2007
Matt Holliday,COL,27,713,0.405,0.607,1.012,0.428,0.267,0.08800000000000001,0.177,36,137,11,-2.6,6.9,1,2007
Alfonso Soriano,CHC,31,617,0.337,0.56,0.897,0.378,0.261,0.05,0.21100000000000002,33,70,19,27.9,6.7,0,2007
Jimmy Rollins,PHI,28,778,0.344,0.531,0.875,0.371,0.235,0.063,0.109,30,94,41,10.0,6.5,0,2007
Grady Sizemore,CLE,24,748,0.39,0.462,0.852,0.373,0.185,0.135,0.207,24,78,33,2.5,6.4,0,2007
David Ortiz,BOS,31,667,0.445,0.621,1.066,0.449,0.29,0.166,0.154,35,117,3,-16.6,6.3,1,2007
Ichiro Suzuki,SEA,33,736,0.396,0.431,0.827,0.362,0.08,0.067,0.105,6,68,37,6.9,6.1,1,2007
Carlos Pena,TBD,29,612,0.411,0.627,1.037,0.431,0.345,0.168,0.23199999999999998,46,121,1,-12.8,5.9,1,2007
Jorge Posada,NYY,35,589,0.426,0.543,0.97,0.418,0.206,0.126,0.166,20,90,2,2.9,5.6,0,2007
Jose Reyes,NYM,24,765,0.354,0.421,0.775,0.337,0.141,0.10099999999999999,0.102,12,57,78,18.9,5.6,1,2007
Russell Martin,LAD,24,620,0.374,0.469,0.843,0.369,0.176,0.10800000000000001,0.14400000000000002,19,87,21,17.5,5.5,1,2007
Aaron Rowand,PHI,29,684,0.374,0.515,0.889,0.384,0.206,0.069,0.174,27,89,6,6.9,5.4,0,2007
Victor Martinez,CLE,28,645,0.374,0.505,0.879,0.373,0.205,0.096,0.11800000000000001,25,114,0,12.7,5.4,1,2007
