Name,Team,Age,PA,OBP,SLG,OPS,wOBA,ISO,BB%,K%,HR,RBI,SB,Def,WAR,Year
Aaron Judge,NYY,33,679,0.457,0.688,1.144,0.463,0.357,0.183,0.23600000000000002,53,114,12,-3.8,10.1,2025
Cal Raleigh,SEA,28,705,0.359,0.589,0.948,0.392,0.342,0.138,0.267,60,125,14,16.3,9.1,2025
Bobby Witt Jr.,KCR,25,687,0.351,0.501,0.852,0.36,0.205,0.071,0.182,23,88,38,23.2,8.0,2025
Shohei Ohtani,LAD,30,727,0.392,0.622,1.014,0.418,0.34,0.15,0.257,55,102,20,-17.1,7.5,2025
Geraldo Perdomo,ARI,25,720,0.389,0.462,0.851,0.37,0.173,0.131,0.115,20,100,27,9.1,7.1,2025
Trea Turner,PHI,32,639,0.355,0.457,0.812,0.352,0.153,0.067,0.16699999999999998,15,69,36,17.3,6.7,2025
Corbin Carroll,ARI,24,642,0.343,0.541,0.883,0.371,0.282,0.10400000000000001,0.23800000000000002,31,84,32,2.5,6.5,2025
Jose Ramirez,CLE,32,673,0.36,0.503,0.863,0.36,0.219,0.098,0.11,30,85,44,4.6,6.3,2025
Francisco Lindor,NYM,31,732,0.346,0.466,0.811,0.35,0.199,0.08900000000000001,0.179,31,86,31,9.2,6.3,2025
Fernando Tatis Jr.,SDP,26,691,0.368,0.446,0.814,0.353,0.178,0.129,0.187,25,71,32,5.1,6.1,2025
Juan Soto,NYM,26,715,0.396,0.525,0.921,0.39,0.262,0.17800000000000002,0.192,43,105,38,-17.2,5.8,2025
Jeremy Pena,HOU,27,543,0.363,0.477,0.84,0.363,0.172,0.064,0.171,17,62,20,10.4,5.7,2025
Julio Rodriguez,SEA,24,710,0.324,0.474,0.798,0.341,0.207,0.062,0.214,32,95,30,5.9,5.7,2025
Maikel Garcia,KCR,25,666,0.351,0.449,0.8,0.347,0.163,0.09300000000000001,0.126,16,74,23,14.9,5.6,2025
Pete Crow-Armstrong,CHC,23,647,0.287,0.481,0.768,0.323,0.234,0.045,0.24,31,95,35,17.4,5.4,2025
George Springer,TOR,35,586,0.399,0.56,0.959,0.408,0.251,0.11800000000000001,0.18899999999999997,32,84,18,-17.8,5.2,2025
Byron Buxton,MIN,31,542,0.327,0.551,0.878,0.367,0.287,0.076,0.273,35,83,24,-1.4,5.0,2025
Kyle Schwarber,PHI,32,724,0.365,0.563,0.928,0.391,0.323,0.149,0.272,56,132,10,-19.5,4.9,2025
Cody Bellinger,NYY,29,656,0.334,0.48,0.813,0.347,0.207,0.087,0.13699999999999998,29,98,13,5.1,4.9,2025
Gunnar Henderson,BAL,24,651,0.349,0.438,0.787,0.339,0.165,0.095,0.21,17,68,30,1.7,4.8,2025
Nico Hoerner,CHC,28,649,0.345,0.394,0.739,0.324,0.097,0.06,0.076,7,61,29,13.5,4.8,2025
Matt Olson,ATL,31,724,0.366,0.484,0.85,0.366,0.212,0.126,0.243,29,95,1,-4.2,4.7,2025
Alejandro Kirk,TOR,26,506,0.348,0.421,0.769,0.334,0.14,0.095,0.11699999999999999,15,76,1,24.9,4.7,2025
Nick Kurtz,ATH,22,489,0.383,0.619,1.002,0.419,0.329,0.129,0.309,36,86,2,-12.1,4.6,2025
Ketel Marte,ARI,31,556,0.376,0.517,0.893,0.381,0.233,0.115,0.149,28,72,4,0.0,4.6,2025
Junior Caminero,TBR,21,653,0.311,0.535,0.846,0.357,0.271,0.063,0.191,45,110,7,-0.4,4.6,2025
Kyle Tucker,CHC,28,597,0.377,0.464,0.841,0.363,0.198,0.146,0.147,22,73,25,-5.1,4.5,2025
Jazz Chisholm Jr.,NYY,27,531,0.332,0.481,0.813,0.349,0.238,0.109,0.27899999999999997,31,80,31,5.3,4.4,2025
Brice Turang,MIL,25,659,0.359,0.435,0.794,0.346,0.147,0.1,0.228,18,81,24,0.1,4.4,2025
Elly De La Cruz,CIN,23,699,0.336,0.44,0.777,0.333,0.176,0.096,0.259,22,86,37,2.7,4.3,2025
Will Smith,LAD,30,436,0.404,0.497,0.901,0.389,0.202,0.147,0.204,17,61,2,1.6,4.1,2025
Wyatt Langford,TEX,23,573,0.344,0.431,0.775,0.337,0.19,0.129,0.264,22,62,22,6.2,4.1,2025
Andy Pages,LAD,24,624,0.313,0.461,0.774,0.332,0.189,0.046,0.21600000000000003,27,86,14,8.4,4.1,2025
Dillon Dingler,DET,26,469,0.327,0.425,0.752,0.326,0.147,0.049,0.235,13,57,0,18.8,4.1,2025
Kyle Stowers,MIA,27,457,0.368,0.544,0.912,0.386,0.256,0.105,0.27399999999999997,25,73,5,-3.7,4.0,2025
Corey Seager,TEX,31,445,0.373,0.487,0.86,0.365,0.216,0.13,0.196,21,50,3,5.6,4.0,2025
Willy Adames,SFG,29,686,0.318,0.421,0.74,0.321,0.196,0.11699999999999999,0.261,30,87,12,9.6,4.0,2025
Freddie Freeman,LAD,35,627,0.367,0.502,0.869,0.37,0.207,0.096,0.204,24,90,6,-10.4,3.9,2025
Shea Langeliers,ATH,27,523,0.325,0.536,0.861,0.364,0.26,0.069,0.19699999999999998,31,72,7,0.0,3.9,2025
Vladimir Guerrero Jr.,TOR,26,680,0.381,0.467,0.848,0.366,0.175,0.11900000000000001,0.138,23,84,6,-12.5,3.9,2025
Jarren Duran,BOS,28,696,0.332,0.442,0.774,0.335,0.185,0.086,0.243,16,84,24,-2.1,3.9,2025
Bo Bichette,TOR,27,628,0.357,0.483,0.84,0.361,0.172,0.064,0.145,18,94,4,-6.0,3.8,2025
Eugenio Suarez,- - -,33,657,0.298,0.526,0.824,0.347,0.298,0.07,0.298,49,118,4,-0.7,3.8,2025
Manny Machado,SDP,32,678,0.335,0.46,0.795,0.341,0.185,0.081,0.193,27,95,14,-3.5,3.8,2025
Ceddanne Rafaela,BOS,24,587,0.295,0.414,0.708,0.307,0.165,0.048,0.19899999999999998,16,63,20,19.0,3.8,2025
Matt Chapman,SFG,32,535,0.34,0.43,0.77,0.336,0.198,0.133,0.23600000000000002,21,61,9,5.9,3.7,2025
Pete Alonso,NYM,30,709,0.347,0.524,0.871,0.368,0.252,0.086,0.228,38,126,1,-17.7,3.6,2025
Sal Frelick,MIL,25,594,0.351,0.405,0.756,0.332,0.117,0.079,0.135,12,63,19,2.8,3.6,2025
William Contreras,MIL,27,659,0.355,0.399,0.754,0.332,0.14,0.127,0.182,17,76,6,6.5,3.6,2025
